Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2000,12,2,6,1823,1823,1929,1940,AA,1500,N2AYAA,66,77,50,-11,0,AMA,DFW,313,11,5,0,NA,0,NA,NA,NA,NA,NA
2000,12,3,7,1817,1823,1937,1940,AA,1500,N2BYAA,80,77,47,-3,-6,AMA,DFW,313,26,7,0,NA,0,NA,NA,NA,NA,NA
2000,12,4,1,1900,1823,2004,1940,AA,1500,N2AEAA,64,77,47,24,37,AMA,DFW,313,9,8,0,NA,0,NA,NA,NA,NA,NA
2000,12,5,2,1820,1823,1920,1940,AA,1500,N2DBAA,60,77,45,-20,-3,AMA,DFW,313,10,5,0,NA,0,NA,NA,NA,NA,NA
2000,12,6,3,1824,1823,1940,1940,AA,1500,N2DAAA,76,77,59,0,1,AMA,DFW,313,9,8,0,NA,0,NA,NA,NA,NA,NA
2000,12,7,4,1817,1823,1927,1940,AA,1500,N2BCAA,70,77,46,-13,-6,AMA,DFW,313,13,11,0,NA,0,NA,NA,NA,NA,NA
2000,12,8,5,1820,1823,1921,1940,AA,1500,N2BXAA,61,77,48,-19,-3,AMA,DFW,313,8,5,0,NA,0,NA,NA,NA,NA,NA
2000,12,9,6,1821,1823,1947,1940,AA,1500,N2BCAA,86,77,47,7,-2,AMA,DFW,313,14,25,0,NA,0,NA,NA,NA,NA,NA
2000,12,10,7,1838,1823,2000,1940,AA,1500,N2BCAA,82,77,45,20,15,AMA,DFW,313,15,22,0,NA,0,NA,NA,NA,NA,NA
2000,12,11,1,1820,1823,1934,1940,AA,1500,N2AGAA,74,77,49,-6,-3,AMA,DFW,313,17,8,0,NA,0,NA,NA,NA,NA,NA
2000,12,12,2,NA,1823,NA,1940,AA,1500,UNKNOW,NA,77,NA,NA,NA,AMA,DFW,313,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,12,13,3,1818,1823,1928,1940,AA,1500,N2AWAA,70,77,47,-12,-5,AMA,DFW,313,12,11,0,NA,0,NA,NA,NA,NA,NA
2000,12,14,4,1821,1823,1929,1940,AA,1500,N2CWAA,68,77,46,-11,-2,AMA,DFW,313,15,7,0,NA,0,NA,NA,NA,NA,NA
2000,12,15,5,1823,1827,1953,1941,AA,1500,N2DDAA,90,74,49,12,-4,AMA,DFW,313,34,7,0,NA,0,NA,NA,NA,NA,NA
2000,12,16,6,1824,1827,1928,1941,AA,1500,N2AXAA,64,74,47,-13,-3,AMA,DFW,313,11,6,0,NA,0,NA,NA,NA,NA,NA
2000,12,17,7,1823,1827,1935,1941,AA,1500,N2DAAA,72,74,43,-6,-4,AMA,DFW,313,23,6,0,NA,0,NA,NA,NA,NA,NA
